questionType,logs
Replay,"Bonjour, j'est juste un problème erreur 4103 en lecture replay ???? depuis une heure"
Les directs,comment je met fré en direct
Mon compte france.tv,Non.impossible de valider 1 nouveau mot de
J'aimerai poser une question autour du coronavirus,"le protocole de reprise d'activités sportives des mineurs , document du 28 novembre 2020 , prévu pour une application au 15 décembre 2020 est -il maintenu pour les entraînements ?"
Comment proposer un sujet ?,"je n'ai pas de question je trouve qie c est innadmissible d'avoir des programmes aussi nul tous les soirs rien d interressant que des rediffusions , que des pubs , des émissions ou films qui comment tard très tard , nil la télé .."
J'aimerai poser une question autour du coronavirus,Je souhaiterais poser une question sur le COVID 19...suis-je obligé de me connecter ou puis-je poser cette question en tant qu'inviter.
Replay,Replay 10%
J'aimerai poser une question autour du coronavirus,Je pose une question sur les visas ?
J'habite à l'étranger,Etats Unis
J'aimerai poser une question autour du coronavirus,Date de reprise activités nautiques...?.
Les directs,je n'arrive pasa voir le tour de france
Comment contacter le service client ?,bjr pouvez vous me donner votre adresse mail svp ?
Comment proposer un sujet ?,couvrir un événement
Mon compte france.tv,je n'arrive pas à m'inscrire
Comment proposer un sujet ?,Bonjour\nUne suggestion de modification à propos de l'affichage des températures sur les cartes nationales et ce pour toutes les chaînes de television et tous les journaux. \nJe comprends très bien que vous affichiez les températures de la Co
J'habite à l'étranger,Pas de connection pour la Belgique ?
Replay,"pourquoi la série Le mensonge"" n'est pas disponible en replay ? Avez vous un semblant d'explication ?"""
Quel est le programme TV ?,quels serront les programmes à 17 h
J'habite à l'étranger,J habite en Allemagne mais je suis française
Mon compte france.tv,Comment suprimer mon compte
Replay,commen regarder france 2 en direct
Mon compte france.tv,moi je ne peux acceder à aucun programmes car mon inscription n'arrive pas à être validée
Replay,"Diffusées Dimanche soir 21 Juin en 2nde partie de soirée , 2 émissions intitulées Collaborations ont disparu du Replay Est-ce normal ?"
J'habite à l'étranger,"Je vis en thailande, est ce que je peux avoir access a votre service?"
J'aimerai poser une question autour du coronavirus,"Je suis à 10 km d'une foret,puis je prendre ma voirure pour y aller afin de marcher"
S'abonner ou se désabonner à nos newsletters,trop de courriels
J'habite à l'étranger,Bonjour Pourquoi n'est-il pas possible de isionner vos videos à partir de la Belgique?
Replay,bug
J'aimerai poser une question autour du coronavirus,bONJOUR? CELA N'A RIEN 0 VOIR AVEC LA PANDEMIE. Il s'agit de questions juridiques personnelles
Quel est le programme TV ?,Programme France télévisions à mi journée
Replay,"bonjour, je n'arrive pas à ouvrir une vidéo, elle ne démarre pas"
Mon compte france.tv,je souhaite résilier mon compte et en créer un autre avec le nouveau mot de passe comme demandé
Mon compte france.tv,Je recoisle lien mais cel ne me donne pas la possibilite de reinitialiser le mot de passe
Replay,je n'arrive plus à lire les vidéos replay
Comment contacter le service client ?,Bonjour je n'arrive pas à vous contacter par mail
Mon compte france.tv,Sa marche pas mon adresse est bonne
Comment proposer un sujet ?,"Ce n'est pas une question, c'est un merci. Je viens de voir le reportage sur le Bou el Mogdhad , quel bonheur de revoir cela .j'ai fait cette croisière en 2010 , un des plus beaux voyages de la vie. J'en"
Mon compte france.tv,je veux refaire mon mot de passe
Comment proposer un sujet ?,comment temoigner d'un evenement
Mon compte france.tv,"non, c'est la date de naissance qui est rejetée"
Comment installer Chromecast ?,"À l’ouverture de l’appli, le symbole Chromecast apparaît en haut à droite de l’écran"
Mon compte france.tv,comment supprimer mon compte france TV
Replay,"Depuis le mardi 12/05/2020, nous n'avons plus de replay sur la tv (freebox)"
Comment contacter le service client ?,"Je viens de faire une candidature pour devenir membre du jury du Prix du Public France Télévisions - Festival International de la Bande Dessinée d’Angoulême, mais je crois que ma lettre de candidature ne s'est pas bien téléchargée"
Mon compte france.tv,je viens d'avoir ma réponse... problème sur la date de naissance... bonne journée
Comment contacter le service client ?,je veux envoyer un courrier suite
Mon compte france.tv,je veux juste me connecter
Replay,Mais on dit sur le net que les programmes sont toujurs a revoir ?
Comment contacter un animateur ?,Contacter élise lucet
Comment activer les sous-titres ?,Mettre le teletex sur le direct
Comment contacter le service client ?,"Je vous contacte car, dans le cadre d'une dotation produits, je souhaiterai avoir les adresses des lieux de tournage de certaines de vos émissions :)"
Comment contacter le service client ?,laisser un commentaire
Comment contacter le service client ?,ce robot me fait tourner en bourrique
Replay,La saison 1 d'OPJ s'est apparemment terminée avec l'épisode 50. Une saison 2 est-elle prévue ?
J'aimerai poser une question autour du coronavirus,oui je m'en doutais... oser ne fait pas tout
Comment proposer un sujet ?,comment envoyer un mail à france 3
Comment contacter le service client ?,Quel numéro appeler
Mon compte france.tv,je ne suis pas douée je n'arrive pas ni à recevoir un mail pour changer le mot de passe ni accès à mes données
Mon compte france.tv,je n arrive plus a me connecter
Replay,"bonjour, je n'arrive pas à lire la vidéo, message d'erreur n° 4103"
Replay,Bonjour le problème technique concernant les émissiosn et programmes en replay n'est toujours pas résolu (voix graves rythme lent). Pourquoi?
Replay,J'ai déjàj essayé de voir sur F5 les pièces et films de la Comédie française continue les dimanches soir sur F5 et la réponse a toujours été que pour des rasions contractuelles ce n'est pas possible pour des raisons contractuelles en CH
Replay,Comment trouver les replay sur votre site ?
Mon compte france.tv,Bonjour je n'arrive pas à me connecter avec google chrome
J'aimerai poser une question autour du coronavirus,Pouvez-vous répondre à cette question : la liberté d'aller et de venir est-elle garantie par la constitution comme cela vient d'être dit au JT 20 H ce soir ?
Comment contacter le service client ?,merci je souhaite juste connaitre la marque de son chemisier . Donc soit vous pouvez me répondre soit vous ne pouvez pas mais ne me ballader d'émission en émission. merci
Les directs,moins acces au replay avec nouvelle politique de FRANCE TÉLÉVISION tres decu
Mon compte france.tv,Je ne peux pas rentrer le code postal
J'aimerai poser une question autour du coronavirus,"Je dois relouer mon logement. Comment faire l etat des lieux, faire visiter le logement en vu de le relouer. J habite la Vendée et le logement se trouve dans le pas de calais merci de votre"
Mon compte france.tv,Bonjour je n'arrive pas a me connecter
Comment contacter un animateur ?,PROPOSEZ UN LIVRE
Mon compte france.tv,"Impossible de s'inscrire sur le site France TV, votre logiciel refuse de lire ma date de naissance"
Comment contacter le service client ?,Ma question concerne le JT de 13h de la 2. Comment est calculé le coût de 832€ pour une garde de nuit pour une personne âgée? J'embauche une (enfin 3) e le tarif est de 14€ net/la nuit (7h de présence) auxquelles il faut rajouter les charge
Replay,Replay les z'amours
S'abonner ou se désabonner à nos newsletters,J'ai plusieurs abonnements France info. Qui sont valides. Mais je ne les reçois plus sur aucun de mes mails
Mon compte france.tv,JE NE PEUX PAS ME CONNECTER ON ME DONNE UN LIEN ET VOILA
Replay,"Bonjour , pas moyen de voir la vidéo La Bohême"". On me dit Erreur survenue lors de la lecture de la vidéo"
Comment contacter un animateur ?,Contacter France 2
Replay,Bonjour comment revoir le documentaire L’éveil du Désir diffusé sur France 3 Aquitaine ? Merci
Replay,Bonjour. Depuis quelque temps France télévision ne respecte plus les horaires. En retard systématiquement. C'est désastreux pour les enregistrements. Y a-t-il u ecraison?
Comment contacter le service client ?,bonjour je souhaiterai envoyer un email au service client en réponse à monsieur PIVIER
S'abonner ou se désabonner à nos newsletters,"impossible de me désabonner des alertes france info même avec votre liste. Au contraire quand on valide les désabonnements en bas de la page, ca me confirme mon inscription; Ras le bol de recevoir sans cesse des alertes j'ai déjà l'Appli FI"
Replay,"Bonjour, je ne trouve pas l'épisode 45 de la série OPJ Pacifique sud sur le Replay de la chaîne France"
Comment proposer un sujet ?,ça commence à bien faire les rediffs de PBLV sur FRT 3 !!!
Mon compte france.tv,Je ne peux pas m inscrire  cordialement
Mon compte france.tv,Mon nouveau compte
Mon compte france.tv,Je n'arrive pas à me connecter pour regarder les avant premières
S'abonner ou se désabonner à nos newsletters,"je souhaite me desabonner, j'ai eu 7 retraits à 2.99 sur ma facture pour des films non souscrits"
Quel est le programme TV ?,Bon soir ... ce programme que je voi maintenant c'est en directe-?
J'aimerai poser une question autour du coronavirus,"Alors, plus de vagues mais des variants diaboliquement intelligents..?"
Les directs,Comment avoir acces aux chaines publiques françaises à Malte.
Quel est le programme TV ?,Pourquoi programme des imiision aller que vous changer le propagation
Comment contacter un animateur ?,Je souhiate avoir le contact
J'aimerai poser une question autour du coronavirus,Pourquoi mesurer l'épidémie en cas positifs et pas en pourcentage beaucoup plus réel ?
Replay,je n'ai plus le replay de questions pour un champion depuis quelques jours
S'abonner ou se désabonner à nos newsletters,Je veut me désabonner merci bonne journée
Mon compte france.tv,je ne peux donc pas me connecter
Thalassa,thalssa
Replay,Il m est impossible de lire les vidéo en replay alors que je le pouvais il y a une semaine
Mon compte france.tv,j'ai changé trois fois de navigateur et le problème persiste pour TOUS LES PROGRAMMES
S'abonner ou se désabonner à nos newsletters,de s'abonner aux newsletters
Comment proposer un sujet ?,je suis stupefait que personne ne parle du le carnet de vaccination internatiol qui existe déjà
Comment contacter le service client ?,Comment envoyer un mail à France Télévisions
Comment contacter le service client ?,ou puis-je trouver les dvd de fort boyard
Comment proposer un sujet ?,"bonjour, pkoi lauent bignolas et encore la, il l a acun respect pour son equipe et encore moins avec nathalis rouet , serais super que damien reste, au moins il et aimable, respectueux, souriant"
Mon compte france.tv,Ou se situe mon adresse quand j'ai créer mon compte
Comment activer les sous-titres ?,Bonjour je n'arrive plus à avoir les sous titres lors de la lecture des replay alors qu'ils sont actif en direct à la tv merci me dire pour quoi cette anomalie ?
Replay,Et ce documentaire film n'est pas disponible a l'achat? DVD ou Blue Ray?
Comment contacter le service client ?,Ouverture d'horaires France télévisions ?
Replay,Pourquoi y-a-t-il des vidéos indisponibles ?
Les directs,"quand je regarde france 2 et farnce 3 en direct alors que je suis connecté à mon compte,le direct est toujours interrompu avec ce petit cercle en pointillés qui s'anime:pourquoi?comment y remédier maintenent meme svp?merci"
Replay,je ne trouve pas le replay de C l'hebdo
Comment contacter le service client ?,je me suis inscrite à l'émission pour vendre un objet il y a 9 mois environ et je n'ai pas de nouvelle. J'ai essayé maintes fois de téléphoner pour avoir des nouvelles mais sans succès.
Comment proposer un sujet ?,ecrire une critique
Replay,pourquoi la vidéo que j'ai choisie de regarder s'arrête t-elle tout de suite après le démarrage???
Replay,JE RECHERCHE LE REPLAY DE QUESTIONS POUR UN CHAMPION DU 15 JUIN DERNIER. POUVEZ VOUS M'AIDER ?
Mon compte france.tv,pourquoi france televisions cloture mon compte alors que je regarde qpuc en replay et d autres emissions depuis des annees ?
S'abonner ou se désabonner à nos newsletters,confirmer mon désabonnement
Comment proposer un sujet ?,"Bonjour, je suis réalisateur et je souhaite proposer un documentaire à France Télévision. A qui dois-je m'adresser s'il vous plaît ?"
Comment proposer un sujet ?,Merci de demander aux présentateurs de ne pas parler de croissance exponentielle : la croissance des malades de COVID19 n'a rien à voir avec une croissance exponentielle !!!
Comment activer les sous-titres ?,Je voudrais supprimer les sous titres
Quel est le programme TV ?,"bonjour,le document sur charlie parker est sur quelle chaine, merci"
Tour de France 2021,question a thomas voekler
Replay,Le replay ne marche qu'en français
Replay,Bonjour j ai un problème avec le replay de la série la faute à Rousseau sur ma box orange par rapport aux 2 derniers épisodes en fait ce sont les 2
Replay,Où sont les Replay de la quotidienne depuis la rentrée septembre 2020
J'aimerai poser une question autour du coronavirus,"bonjour, je suis dans une résidence de personnes séniors autonomes. Cette résidence n'est pas du tout médicalisée. Pas de médecins, pas d'infirmières, pas d'aides médicales, enfin rien, ni le jour ni la nuit. Malgré le déconfinement, ce jou"
J'aimerai poser une question autour du coronavirus,fabriquer le masque
Comment contacter le service client ?,Comment retrouver le débat télévisé qui a suivi le documentaire la décolonisation du sang et des larmes avec julian Bugier?
Comment contacter un animateur ?,Je recherche un journaliste à la santé
Mon compte france.tv,Comment pouvons-nous se désinscrire de France.tv?
Comment installer Chromecast ?,installer chromecast
Comment contacter le service client ?,plainte
Comment proposer un sujet ?,je veux ecrire
Replay,Les films en
Quel est le programme TV ?,Qui a t'il de ''prévu'' pour ce soir 21h?
J'aimerai poser une question autour du coronavirus,En prévision d utiliser mon camping-car à Noël pour me rendre dans ma famille (si on en a le droit)je dois changer les pneus.ai je le droit d aller chez mon garagiste avec ce camping
Mon compte france.tv,Je ne comprends pas vous me faite regarder un si grand sOleil sur Replay et en plus vous avez les renseignements sur mon identifiant et mon mot de passe . avant je n avais pas de problème.
Comment proposer un sujet ?,non réclamation
Comment contacter le service client ?,"je voudrais connaitre l'association qui s'occupe des objets ayant appartenus à la duchesse du Berry, info donné lors du secrets d'histoire du 28/09/2020. Merci"
Mon compte france.tv,connexion infernale
Comment contacter un animateur ?,je voudrais être en contact avec un journaliste
Comment activer les sous-titres ?,j'ai visionné hier THAIS; pas de sous titrage...... pa
S'abonner ou se désabonner à nos newsletters,Je voudraisme désinscrire. Comment dois-je faire ?
Comment proposer un sujet ?,Mon sujet parie des femmes
Les directs,La vidéo du direct ne se lance pas
Mon compte france.tv,Je n'arrive plus à me connecter sur SAFARI
S'abonner ou se désabonner à nos newsletters,Se desinscrire
J'aimerai poser une question autour du coronavirus,J'ai un problème de risque de prolapsus suite à une valve mitrale perforée suis-je considérée à risque pour le Covid 19 ? Merci !!
J'aimerai poser une question autour du coronavirus,twitch
Replay,C'est normal de ne pas pouvoir regarder mes séries en replay ce week-end ?
Comment contacter le service client ?,un numero de telephone svp
Mon compte france.tv,"je dois rèinitialiser mon mot de passe , où dois je aller ?"
Replay,je n'arrive pas a regarder une replay . en vous remerciant
J'aimerai poser une question autour du coronavirus,Est-ce que cette déclaration est valable pour une résidence secondaire
Replay,je n'arrive pas à regarder en replay
Comment contacter le service client ?,"Bonjour, je souhaiterai contacter la rédaction pour leur envoyer un communiqué de presse."
Comment contacter le service client ?,PUIS JE AVOIR L ADRESSE MAIL DU SERVICE CLIENTELE DE FRANCE TELEVISION
J'aimerai poser une question autour du coronavirus,"les commerces ne font pas respecter les règles de Sécurité à leurs clients , et quand on voit tous ce qui est demandé aux restaurants , etc...."
J'aimerai poser une question autour du coronavirus,"Bonjour, juste une question sur la covid"
Comment contacter le service client ?,"Pour le concours calendrier de l'avent, si je suis tiré au sort et que je ne peux pas répondre au téléphone, comment ça se passe ?"
S'abonner ou se désabonner à nos newsletters,j'arrive pas à ma désabonner
Mon compte france.tv,Bonjour j'ai beau changer mon mot de passe je ne peux plus faire de jeux ça ne fonctionne pas malgré la ré-initalisation que faire merci
Tour de France 2021,Arrêtez de nous prendre pour des cons avec votre pub toutes les 3 mn sur le tour de France e
Replay,simplement le replay
J'aimerai poser une question autour du coronavirus,chômage partiel a t-on les conditions que lors du premier confinement
Mon compte france.tv,mon compte est desactivé et la fonction récupération par mot de passe ne fonctionne pas*
J'aimerai poser une question autour du coronavirus,Pourquoi Covid 19 ... probablement baptisé année 2019 ou une série de souche de 1 à 19.Merci
J'aimerai poser une question autour du coronavirus,"J habite à Mulhouse.35 klm. Généralement je fais mes courses en Allemagne , (par économie) pendant le confinement est ce autorisé ???"
Mon compte france.tv,c'est quoi cette obligation de s'inscrire!!je ne regarderai plus cette chaîne
Replay,pourquoi le replay est en anglais ?
Mon compte france.tv,connexion messagerie orange
S'abonner ou se désabonner à nos newsletters,Je veux me désabonner
Comment contacter le service client ?,comment faire pour vous envoyer mon rib pour toucher mon lot
Comment proposer un sujet ?,"Bonjour, je voulais savoir pourquoi vous parler toujours de PSG en sport et pas un seul mot concernant le victoire de les Bleus en rugby. C'est honteux !!!!!"
Quel est le programme TV ?,PROGRAMME DIMANCHE 5 JUILLET
Replay,Erreur code 2000 :Video ID 10b831a8-1272-4694-9c18-971a4f80a424@(null)
J'aimerai poser une question autour du coronavirus,réa
Replay,"Bonsoir je voudrais revoirBonjour\nJ'aimerais revoir l'intégralité de cette émission avec témoignages au sujet du trou maculaire dont je suis atteinte, je ne peux pas la repasser en replay vidéo non disponible\nmerci pour la réponse"
Les directs,"France 4, le soir, sur quel canal? Geneviève info@centrocanto.com"
Mon compte france.tv,"apres inscription aucun mail de confirmation a ete recu de votre part , ni dans spam niautrepart"
Comment contacter le service client ?,Je souhaiterai utiliser à des fins non-commerciales quielques dessins d' un jour
Mon compte france.tv,je n'ai plus accès à france tv
Replay,bonjour je voudrais regarder une serie mais ca me met erreur 4103 et la video ne demarre pas
Comment proposer un sujet ?,"Bonjour, avez vous des appels à projet"
S'abonner ou se désabonner à nos newsletters,bonjours je cherche a me desabonner de tous vos site et vous me remetez d autre arreter svp ou je depose plainte
Replay,il manque completement l episode
Replay,bonjour je ne peux pas regarder Indian Summers en replay
Mon compte france.tv,bonjour je n arrive ni a m inscrire ni a me connecter pour regarder 10 pour cent
Quel est le programme TV ?,"Tous les matins du monde prevu à la diffusion ce soir n est pas à l antenne actuellement, sans avertissements ou explications de ce changement nous preferons voir une autre chaine qui fonctionne normalement"
Mon compte france.tv,"Je syuis inscrit , je souhaite me connecter, j'ai des difficultés"
S'abonner ou se désabonner à nos newsletters,je veux me désinscrire de la news letter
Mon compte france.tv,connexion espace
Les directs,"je veux regarder la 2 en direct. cOMMENT JE FIS ,"
Comment proposer un sujet ?,comment laisser un avis
Replay,video de l armee francaise sur la guerre d algerie
Replay,"je ne trouve pas en replay le film Chambre avec vue"" passé sur France 5 le lundi 21 septembre. Merci de m'indiquer le lien direct pour que je puisse le visionner"""
Replay,"Je cherche à regarder la série parlement"""
Comment contacter le service client ?,Comment fait-on pour envoyer un mail afin de participer au casting du film '' comme un éclaire dans un ciel sans nuages ''
Comment contacter le service client ?,bonjour. Je souhaite proposer un sujet à la rédaction de France TV. A quelle adresse mail puis-je envoyer mon sujet ?
J'aimerai poser une question autour du coronavirus,J'ai une question sur la situation Covid-19
Replay,J'ai essayé de regarder sur mon ordinateur parlement. Je me suis inscrite sur france tv. Au chargement le code erreur 4103 apparait. quelle est la solution ?
Comment contacter le service client ?,"k ai gagne a l emisson de Nagui. Mr Louis responsable des jeux concours m a appelait pour que j envoye jpar mail mon RIB, j ai fait une erreur dans l adresse mail de la tv, avez vous la bonne merci"
Comment proposer un sujet ?,"Bonsoir, je souhaiterais svp avoir l'adresse mail de la rédaction afin de leur proposer un sujet d'actualité"
Comment proposer un sujet ?,Reprogrammez cette émission tout simplement
Quel est le programme TV ?,pouve vous mettre des programmes festives pour lesfêtes d année ?
Mon compte france.tv,Je ne me rapelle plus le mode de passe
Replay,"je ne comprends pas pourquoi dans les replay il y a des pages de publicité...et même plusieurs par diffusion... j'ai vraiment de la peine à concevoir cela, d'autant plus que lorsque les séries sont diffusées en direct, il n'y en a pas..."
Quel est le programme TV ?,tous les programmes sur la2
Replay,Que fait on si la date de replay est dépassé
Mon compte france.tv,moi je ne veux que du rect sur mon pc
Comment contacter le service client ?,Je souhaite envoyer un message à France 3
Comment proposer un sujet ?,avis et remarque
Les directs,Je ne ai plus accès a France
Replay,pourquoi le feuilleton amour gloire et beaute du 25sept n'est pas sorti en replay
Comment contacter le service client ?,Au lieu de voir les Infos en direct je vois une émission qui estime des biens ☹️
Mon compte france.tv,Je désire réinitialiser mon mot de
J'habite à l'étranger,"Bonjour, j'ahabite en Belgique et souhaiterais revoir l'émisssion d'hier sur France 2. Impossible pour la Belgique ?"
J'aimerai poser une question autour du coronavirus,Responsable d'une association et patron bénévole. Puis je me rendre au siège social de mon association pour rencontrer les salariés dans le cadre du confinement
Replay,J'aimerais regarder l'enquête de santé sur maladies mentales. N'est plus dispo ?
Comment contacter le service client ?,Références du papier peint panoramique utilisé par la décoratrice Cécile
Replay,"Bonjour, abonné free avec box v5, je n'ai plus de replay sur les chaînes france tv depuis mardi 12 mai. Pouvez vous y remédier svp."
Replay,pourquoi vos replay mouline tant et si longtemps parfois 1/4h
Mon compte france.tv,Je veux juste m'inscrire et il ne reconnaît rien
Quel est le programme TV ?,voir programme TV à partir de 8h et toute la journée
Mon compte france.tv,lien reinitialisation mot de psasse ne fonctionne pas
J'habite à l'étranger,Comment regarder depuis la BELGIQUE SUR PC.
J'aimerai poser une question autour du coronavirus,contrôle
Comment contacter le service client ?,"Bonjour, Je vous contacte au nom de Télésat M7 group). Nous voulons mettre vos chaînes à l'honneur sur notre site web et médias sociaux. Avez vous une base d'im ne trouve pas directement une addresse e-mail à qui je peux poser ma question."
Comment contacter le service client ?,"Bonjour J'aimerasi envoyé un courriel conernant l'émissionmot de passe"" avec Laurence Boccolini. Pourriez-vous m'informer de l'adresse e-mail?"""
Comment contacter le service client ?,Je souhaiterais obtenir le droit d'utiliser une vidéo publiée sur YouTube dans un but NON lucratif et totalement éducatif.
Comment contacter le service client ?,"EN REPLAY,pourquoi la série \nLa Compagnia Del Cigno"" n'est est plus en VOST après le 2ème èpisode?"""
J'habite à l'étranger,Aucune possibilité de regarder vos émission (sauf le JT) si on est en Italie?
Mon compte france.tv,Je souhaite réinitialiser mon mot de passe. En me rendant sur votre lien envoyé par mail on me dit à chaque fois que le délai a expiré !
Comment installer Chromecast ?,projeter l'image
Quel est le programme TV ?,quel film diffusé hier apres midi vers 16h svp
Comment proposer un sujet ?,commentaires sur les programmes
Tour de France 2021,info tour de france
Comment proposer un sujet ?,je voudrais faire une proposition de sujet pour le journal
Comment proposer un sujet ?,comment dire son désaccord aux
Replay,impossible de connecter le replay u si grand soleil sur mon ordi
Replay,"Toutes les émissions ,quelles soient en direct ou en replay .Mesréglages sont : vo avec sous-tires"
J'aimerai poser une question autour du coronavirus,"avons des problèmes de santé et sommes en attente, même pas d'inscription possible"
J'aimerai poser une question autour du coronavirus,Puis je me rendre à un rendez-vous kinésithérapeute après 18h?
S'abonner ou se désabonner à nos newsletters,depuis une semaine je ne reçois pas votreemail dans ma boîte .Et pourtant je suis inscrite.
Mon compte france.tv,Bonjour J'essaie de creer un compte mais mon n° de tél apparait toujours comme erroné ??? de ce fait ma demande n'est pas validé
Comment contacter le service client ?,merci me communniquer adresse ou tel. ou mail du service relation téléspectateur
S'abonner ou se désabonner à nos newsletters,Je cherche à recevoir les communiqués de presse dans ma boite mail
Comment proposer un sujet ?,faire des remontrances
Mon compte france.tv,On me dit date invalide
Mon compte france.tv,je n'ai pas pu créer mon compte puisqu'il n'accepte pas ma DATE DE NAISSANCE
S'abonner ou se désabonner à nos newsletters,"Bonjour - je veux juste resilier mon abonnement/souscription, dois je faire? merci"
Replay,"Bonjour. Depuis jeudi 09 juillet, il n'y a plus les épisodes de Plus Belle La Vie par le replay de ma Freebox Revolution."
Replay,"Lorsque je veux regarder une vidéo en replay, voici le message reçu : Pour des raisons de droits"
J'aimerai poser une question autour du coronavirus,Bonjour je suis saisonnière je rentre chez moi le 19 par contre mon train arrive chez moi a 22h37 ai je le droit de circuler avec le couvre feu?
Quel est le programme TV ?,seul le programme du soir est mentionné ! et celui de l'après-midi ?
Mon compte france.tv,Bonjour impossible de me connecter au compte France TV sur l'appli... malgré ma reinitialisation de mot de passe... merci pour votre aide
J'aimerai poser une question autour du coronavirus,Pourquoi ne pas penser que le SARS 2 peut disparaître seul comme le SARS 1 ?
Comment proposer un sujet ?,"Pourriez-vous faire un sujet sur les oubliés de la vaccination que sont les 65-75 ans. Plus de perspectives pour eux, enfin pour nous puisque j'en fais partie"
Comment proposer un sujet ?,"Je viens de regarder sur le front du corail"" est ce qu'une émission d'une aussi bonne qualité ne mérite-t-elle pas d'être diffusée sur un créneau avec une plus grande audience?"""
Comment contacter un animateur ?,"Bonjour, j'aimerais envoyer un dossier de presse à Madame Claire Chazal pour l'émission Passage des arts sur Franc 5. Pourriez-vous m'indiquez la manière de procéder ? je vous en remercie. Bien cordialement, Anne Tubery"
Mon compte france.tv,"Je tente de cliquer pour lancer une vidéo, et rien ne se passe !"
Replay,je ne vois pas le bouton replay
Comment contacter le service client ?,Je vous demande une adresse postale pour envoyer un résumé de dossier
Replay,Bjr comment puis je voir la saison 1 de mallorca (serie)
Mon compte france.tv,je souhaite m'inscrire
J'habite à l'étranger,les jeux olympiques seront ils visible d'Israel par internet?
Replay,"Bonjour, ça alors!!! La Bohème a disparu de vos programmes. Normalement c'est jusqu'au lundi 15 juin, non?? Ai fait une pause ce midi et là je reviens pour visionner. Plus rien"
S'abonner ou se désabonner à nos newsletters,plus recevoir
Comment contacter le service client ?,il est bien diffusé mais il en manque la moitié!
S'abonner ou se désabonner à nos newsletters,savoir svp le coût abonnement compte client france tv?
Comment contacter le service client ?,Je voudrais l'adresse mail pour une réclamation à France TV
Comment contacter le service client ?,bonjour avez vous un mail ?
Replay,pourquoi ne puis-je plus vous regarder en replay ?
Comment proposer un sujet ?,"Je souhaite faire savoir que j'ai écrit un livre Pourquoi"" aux éditions Sydney Laurent : une vision d'en bas sur les trajectoires de la vie démocratique"""
Replay,"Bonjour, je souhaite regarder des replay sur le site mais cela me met un erreur est survenue lors de la lecture de la vidéo erreur 4300"". Pouvez-vous m'aider s'il vous plaît ?"""
Comment proposer un sujet ?,Donner un témoignage une appréciation aux intervenants.
Mon compte france.tv,Bonjour je viens de créer mon inscription sur votre site mais je pense que celle-ci est mal enregistrée. Semble qu'il n'y ait pas concordance entre e-mail ? mot de passe ? et pseudo ?
Replay,abonne sfr je n'ai plus acces à france tv depuis fevrier
Comment contacter le service client ?,Nous n'arrivons pas à visionner France.tv sur notre télévision à partir de notre i phone ou à partir de la tablette alors que nous avons AirPlay. L'icône de partage sur france.tv disparaît. Cela fonctionne très bien sur l'application Arte.t
Replay,"Bonsoir je voudrai revoir en replay l'emission de France 2 du dimanche 28 juin 2020 diffusée à 9h15 a l'origine"" avec Bernard-Henri Levy"""
Replay,"LeBbon , juste pour vous signaler que je n'ai plus la réception France TV..."
Les directs,le direct france 3
Les directs,"BONJOUR, JE N'ARRIVE PAS A ME CONNECTER jz souhaite voir en replay un reportage de france 5"
Mon compte france.tv,Me connecter avec adresse mail et MDP déjà intégrés
Replay,Bonjour je n'arrive pas à lancer les vidéos
Replay,j'arrive a voir le direct mais pas le replay
Mon compte france.tv,"impossibme de m'inscrire, je vourdrais revoir le documentaire schnocks la vie en vieux"
Comment proposer un sujet ?,Je réalise un documentaire. Seriez-vous intéressés pour le diffuser ?
Comment contacter le service client ?,sur france 5 je ne peux pas regarder le direct erreur 4201
Replay,"Pas d'erreur 4103 ou 3005 affichée, rien que pas de possibilité vu la position géographique"
Mon compte france.tv,Mon compte adhésion au club france.tv&vous est il ouvert ?
Mon compte france.tv,"Bonjour, je vis en Belgique et l'inscription ne reconnaît que des codes postaux français. J'ai donc renseigné le code postal de la ville française où je passe le plus de temps quand je suis en France. Est-il possible de renseigner un code b"
Mon compte france.tv,mofifier son adresse e-mail
Comment proposer un sujet ?,ça commence à bien faie les rediffs de PBLV sur fr3 !!!
Les directs,Je veux le voir en direct sur ma ele
Comment contacter le service client ?,BONJOUR JE RECHERCHE UNE VIDEO
Comment contacter le service client ?,Bonsoir avez vous une adresse mail de l'émission C dans l'air sur France 5 ?
S'abonner ou se désabonner à nos newsletters,impossible supprimer news france tv
S'abonner ou se désabonner à nos newsletters,Veuillez ne désabonner svp
Replay,"Bonjour depuis plusieurs jours impossible de voir une vidéo, re0lay sur france tv... ça tourne en loading mais rien ne se passe"
Comment proposer un sujet ?,pas de question mais deux remarques 1)que l'animatrice laisse parler les invités et reduise ses interventions
Comment contacter le service client ?,tribunal
Comment proposer un sujet ?,J aimerai expliquer mon changement de vie professionnelle à l émission 13h15 le dimanche
Mon compte france.tv,"je mets mon e.mail , on me met en rouge une erreur est survenue"
Comment proposer un sujet ?,Je voulais proposer mon histoire comment
Comment contacter le service client ?,uelle est l adresse email de france television
S'abonner ou se désabonner à nos newsletters,"Y a-t-il moyen de s'abonner à Un livre un jour"" et de recevoir par mail quotidiennement la vidéo (ou un lien vers la vidéo) du jour?"""
Tour de France 2021,Comment s'inscrire pour participer au VIP tour de France ?
J'habite à l'étranger,pour m inscrire on anaccepte pa mon code postal d israel
Comment contacter le service client ?,nul
